exhibitor_name,booth,categories
4Dviews,950,3D Modeling; 3D Graphics; 3D Scanning; Augmented Reality - Software and Services; Animation/Film; Education/Training; Immersive System; Streaming Technology; Virtual Reality Software/Hardware; Web 3D
Abstract Group GmbH & Co.KG,718,3D Modeling; 2D Graphics; 3D Graphics; 3D Scanning; Aerospace Applications; Augmented Reality - Software and Services; Automotive Applications; CAD/CAM/CAE/CIM; Animation/Film; Architecture Applications; Artificial Intelligence (AI); Education/Training; Medical Application; Game Engines; Immersive System; Online Network Services; Plug-ins for Software; Rendering & Modeling; Virtual Reality Software/Hardware; Visual Effects Software; Web 3D
Adobe,619,
Aina Tech Inc.,635,3D Modeling; 3D Graphics; 3D Scanning; Animation/Film; Augmented Reality - Software and Services; Artificial Intelligence (AI); Digital Imaging; Game Engines; High Resolution Technologies; Imaging; Immersive System; Motion Capture Software/Hardware; Rendering & Modeling; Streaming Technology; Virtual Reality Software/Hardware; Web 3D
ALLSIDES,850,3D Graphics; 3D Scanning; Digital Imaging; Imaging; Simulation
AlmaLinux OS Foundation,735,Animation/Film; High Performance Graphics Processors; High Resolution Technologies; Input Devices; Multimedia Tools & Applications; Networking Infrastructure; Storage Devices; Workstations
Animation Magazine,524,Animation/Film; Education/Training
asf,736,
ASRock Rack Inc.,721,Artificial Intelligence (AI); Storage Devices
Autodesk,629,
BIND Studio,521,Consulting; Visual Effects Software; Workstations; Multimedia Tools & Applications
"Bolt Graphics, Inc.",651,3D Graphics; Aerospace Applications; Architecture Applications; Data Visualization; Digital Imaging; Engineering Application; Graphics Accelerator Boards-Hardware; High Performance Graphics Processors; High Resolution Technologies; Plug-ins for Software; Rendering & Modeling; Scientific Visualization; Simulation; Streaming Technology; Virtual Reality Software/Hardware; Visual Effects Software
Brigham Young University (BYU) Center for Animation,918,Education/Training
Carnegie Mellon ETC,825,
CenterGrid,534,Animation/Film; Artificial Intelligence (AI); Data Visualization; High Performance Graphics Processors; Networking Infrastructure; Online Network Services; Rendering & Modeling; Workstations
CGTrader,738,3D Modeling; 3D Graphics; Animation/Film; Augmented Reality - Software and Services; Artificial Intelligence (AI); Digital Imaging; Imaging; Immersive System; Multimedia Tools & Applications; Online Network Services; Rendering & Modeling; Virtual Reality Software/Hardware; Web 3D
Chat3D*,845,
Crysta AI,543,3D Modeling; 3D Graphics; 3D Rapid Prototyping; 3D Scanning; Augmented Reality - Software and Services; Artificial Intelligence (AI); Data Visualization; Digital Imaging; Education/Training; Medical Application; Web 3D; Engineering Application; Imaging; Multimedia Tools & Applications; Rendering & Modeling; Scientific Visualization; Simulation
Dell Technologies,713,Mobile Computing; Monitors/Displays/Terminals; Workstations
Drexel University,829,Education/Training
EIZO Inc.,528,Monitors/Displays/Terminals
Emergent Vision Technologies,625,Augmented Reality - Software and Services; Artificial Intelligence (AI); Digital Imaging; Medical Application; High Resolution Technologies; Imaging; Motion Capture Software/Hardware; Virtual Reality Software/Hardware
