day_and_date,start_time,end_time,title,program_track,location,speakers_or_contributors,keywords_tags,interest_area,registration_category,session_url
"Sunday, 19 July 2026",8:00am,2:00pm,Pathfinders,Pathfinders,West Hall Lobby,,,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess471
"Sunday, 19 July 2026",8:00am,10:00am,Women of SIGGRAPH Conversations (WOSC) Breakfast Mixer,ACM SIGGRAPH 365,Room 409 AB,Kalina Borkiewicz; Mikki Rose; Eveline Falcão; Shanna Alcide; Mikki Rose,Ethics and Society,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_104&sess=sess312
"Sunday, 19 July 2026",9:00am,12:15pm,AI for Creative Visual Content Generation Editing and Understanding (CVEU 2026),Course,Room 408 A,Zheng Wei; Yuying Tang; Mia Tang; Anyi Rao,Art; Computer Vision; Generative AI,Arts & Design; Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_194&sess=sess190
"Sunday, 19 July 2026",9:00am,12:15pm,An Introduction to Neural Shading,Course,Room 515 A,Benedikt Bitterli; Chris Cummings; Kai Zhang; Shannon Woods,Artificial Intelligence/Machine Learning; Games; Math Foundations and Theory; Rendering,Gaming & Interactive; New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_279&sess=sess195
"Sunday, 19 July 2026",9:00am,12:15pm,Asiagraphics Workshop on Neural Graphics Processing,Technical Workshop,Room 406 AB,Young J. Kim; Hongbo Fu; Takeo Igarashi; Ligang Liu; Stefanie Zollmann; Lin Gao; Hao (Richard) Zhang; Qixing Huang; Ravi Ramamoorthi; Lingqi Yan,Generative AI; Geometry; Modeling; Rendering,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=twork_110&sess=sess223
"Sunday, 19 July 2026",9:00am,12:15pm,Frontier Workshop: Digital Twins for Science and Industry,Frontiers,Room 501 ABC,Barton Fiske; Tomasz Bednarz; Elizabeth Baron; Andrea Townsend-Nicholson; Dan Isaacs; Jeff Adie; Nicholas Polys; Scott Greenwood,Digital Twins; Physical AI; Robotics; Scientific Visualization; Simulation; Virtual Reality,New Technologies,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=fwork_101&sess=sess242
"Sunday, 19 July 2026",9:00am,12:15pm,Optimal Transport for Fluid Simulation: New and Old,Course,Room 408 B,Bruno Lévy; Cyprien Plateau--Holleville,Geometry; Math Foundations and Theory; Simulation,Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_373&sess=sess188
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: 3D & Geometry,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess431
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Animation & Simulation,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess432
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Art & Design,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess445
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Augmented & Virtual Reality,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess434
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Display & Optics,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess435
"Sunday, 19 July 2026",9:00am,5:30pm,"Posters: Images, Video & Computer Vision",Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess436
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Interactive Techniques,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess437
"Sunday, 19 July 2026",9:00am,5:30pm,Posters: Rendering,Poster,West Hall Lobby,,,,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess438
"Sunday, 19 July 2026",9:00am,10:30am,Rendering and Materials,Talks,Room 403  B,,Art; Computer Vision; Digital Twins; Education; Games; Image Processing; Pipeline Tools and Work; Rendering,Arts & Design; Gaming & Interactive; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",9:00am,9:40am,The Art of Rendering Realism at LAIKA,Talks,Room 403  B,Mitch J. Prater,Digital Twins; Education; Pipeline Tools and Work; Rendering,Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_254&sess=sess178
"Sunday, 19 July 2026",9:40am,10:00am,Eclipsed Bokeh: A Conceptual Model for Defocusing Through Defocused Edges,Talks,Room 403  B,Christopher Berry,Art; Computer Vision; Image Processing; Rendering,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_302&sess=sess178
"Sunday, 19 July 2026",10:00am,10:20am,An Artist-Friendly Albedo Approximation for Transmissive Materials,Talks,Room 403  B,Artem Kryzhanovskyi,Art; Games; Rendering,Arts & Design; Gaming & Interactive,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_140&sess=sess178
"Sunday, 19 July 2026",9:00am,10:30am,Talking About Something Else,Talks,Room 403 A,,Art; Artificial Intelligence/Machine Learning; Audio; Computer Vision; Digital Twins; Education; Fabrication; Games; Generative AI; Geometry; Industry Insight; Modeling; Performance; Pipeline Tools and Work; Real-Time; Rendering,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",9:00am,9:20am,Playable Music at Runtime: Building a Stateful Audio System for Astral Planes,Talks,Room 403 A,Clay Ewing,Art; Audio; Games; Generative AI,Arts & Design; Gaming & Interactive,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_226&sess=sess176
"Sunday, 19 July 2026",9:20am,9:40am,LatentScore: Sketching Soundscapes with LLM-Distilled Retrieval for Procedural Synthesis,Talks,Room 403 A,Prabal Gupta,Artificial Intelligence/Machine Learning; Audio; Games; Generative AI; Industry Insight; Performance; Pipeline Tools and Work; Real-Time,Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_561&sess=sess176
"Sunday, 19 July 2026",9:40am,10:00am,"Knit Everything: Surfaces, Systems, and the Future of Textiles",Talks,Room 403 A,William Samosir,Art; Computer Vision; Digital Twins; Fabrication; Geometry; Modeling; Rendering,Arts & Design; New Technologies,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_488&sess=sess176
"Sunday, 19 July 2026",10:00am,10:20am,Chem2Vid: Translating Chemical Equations into Videos for Chemistry Education via Chemically Constrained Diffusion,Talks,Room 403 A,Baotong Qian; Qian Zhang; Xiaoming Chen; Yongquan Hu,Artificial Intelligence/Machine Learning; Computer Vision; Education; Generative AI,New Technologies; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_336&sess=sess176
"Sunday, 19 July 2026",9:00am,10:30am,Workflows it is,Talks,Petree D,,Animation; Pipeline Tools and Work; Real-Time,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/null
"Sunday, 19 July 2026",9:00am,9:20am,"Fast, High-Volume Asset Imports and Exports Using Unreal Engine and OpenUSD",Talks,Petree D,Tzung-da Tsai; Darian Wang; Manuel Agost Garcia; Jason Baldwin,Animation; Pipeline Tools and Work; Real-Time,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_239&sess=sess170
"Sunday, 19 July 2026",9:20am,9:40am,Assets in Motion (AIM) - Injecting life into a static and linear asset building process,Talks,Petree D,Hans Heymans; Chris Logan; Brian Cohen,Animation,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_507&sess=sess170
"Sunday, 19 July 2026",9:40am,10:00am,Avatar Aang: The Last Airbender - Strike Force A Hybrid In-House Production Model for a Modern 2D/3D Animated Feature Pipeline,Talks,Petree D,Jerry Huynh; Patrick Kueking; Samantha Steyns; Karyn Buczek Monschein; Vijoy Gaddipati,Animation; Pipeline Tools and Work,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_542&sess=sess170
"Sunday, 19 July 2026",10:00am,10:20am,Production-Driven Data Management for a Service-Based Pipeline,Talks,Petree D,Katie Vinson; Yaash Jain; Oliver Staeubli; Timothy Hoff,Animation; Pipeline Tools and Work,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_392&sess=sess170
"Sunday, 19 July 2026",9:15am,10:15am,ACM SIGGRAPH: Opportunities and Programs for Educators - Part 1,ACM SIGGRAPH 365,Room 404 AB,Glenn Goldman; Richard Lewis; Glenn Goldman; Richard Lewis,Art; Education,Arts & Design; Gaming & Interactive; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_105&sess=sess276
"Sunday, 19 July 2026",10:00am,10:30am,Beyond the Dot: New Ways to Reduce Motion Sickness in Gaming,Games Summit,411 Theatre,Adrian Ledda; Magalie Rosseeuw; Ewa Trusz,Games,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_381&sess=sess365
"Sunday, 19 July 2026",10:30am,11:30am,ACM SIGGRAPH: Opportunities and Programs for Educators -– Part 2,ACM SIGGRAPH 365,Room 404 AB,Glenn Goldman; Richard Lewis; Glenn Goldman; Richard Lewis,Art; Education,Arts & Design; Gaming & Interactive; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_106&sess=sess277
"Sunday, 19 July 2026",10:45am,12:15pm,"Advancing Virtual Production: Technical Innovations and Collaborative Pipelines for Film, TV & Live Events",Panel,Room 403 A,Michael Stein; Lon Grohs; Ryan Mayeda; Markus Hoell; Paul Franklin; Callum Macmillan,Artificial Intelligence/Machine Learning; Computer Vision; Industry Insight; Lighting; Pipeline Tools and Work; Real-Time,Production & Animation,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_529&sess=sess252
"Sunday, 19 July 2026",10:45am,12:15pm,Curves for Technical Artists,Course,Room 403  B,Thomas Stevenson,Animation; Math Foundations and Theory,Production & Animation; Research & Education,Full Conference Supporter; Full Conference,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gensub_433&sess=sess186
"Sunday, 19 July 2026",10:45am,11:15am,Game Audio Lasagna: Building Layers to Create New Sonic Worlds,Games Summit,411 Theatre,Kole Hicks; Kole Hicks; Emmanuel Lagumbay,Audio; Games,Gaming & Interactive,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=gam_101&sess=sess364
